1762.5	4.98	6.04	7.1	18
1763.5	3.44	4.17	4.9	17
1764.5	4.24	5.14	6.04	18
1765.5	1.12	1.36	1.59	17
1766.5	1.06	1.29	1.51	17
1767.5	3.83	4.65	5.46	17
1768.5	6.52	7.9	9.29	18
1769.5	8.79	10.65	12.52	18
1770.5	8.07	9.78	11.49	17
1771.5	7.1	8.6	10.11	18
1772.5	5.52	6.69	7.86	17
1773.5	2.89	3.5	4.11	18
1774.5	3.18	3.86	4.54	18
1775.5	1.66	2.01	2.36	17
1776.5	2.09	2.53	2.97	18
1777.5	6.14	7.44	8.74	18
1778.5	9.92	12.03	14.13	17
1779.5	8.9	10.78	12.67	18
1780.5	7.27	8.81	10.35	17
1781.5	6.94	8.41	9.88	17
1782.5	2.71	3.29	3.86	17
1783.5	2.44	2.95	3.47	18
1784.5	0.44	0.53	0.62	17
1785.5	1.43	1.73	2.04	18
1786.5	6.9	8.36	9.83	18
1787.5	9.77	11.84	13.91	18
1788.5	9.2	11.15	13.1	17
1789.5	8.02	9.72	11.43	18
1790.5	6.61	8.01	9.42	18
1791.5	5.51	6.68	7.85	18
1792.5	4.95	6.01	7.06	17
1793.5	1.98	2.4	2.82	18
1794.5	3.46	4.19	4.93	18
1795.5	1.42	1.73	2.03	17
1796.5	1.19	1.45	1.7	17
1797.5	0.59	0.71	0.84	18
1798.5	0.36	0.43	0.51	18
1799.5	0.54	0.66	0.78	18
1800.5	1.65	2	2.35	18
1801.5	3.92	4.74	5.55	17
1802.5	3.2	3.84	4.47	17
1803.5	3.37	4.01	4.65	16
1804.5	4.2	4.96	5.73	15
1805.5	3.3	3.88	4.46	15
1806.5	1.57	1.83	2.09	14
1807.5	1.51	1.75	2	14
1808.5	0.93	1.07	1.22	13
1809.5	0.49	0.57	0.64	13
1810.5	0.04	0.05	0.06	20
1811.5	0.28	0.32	0.36	12
1812.5	1.47	1.67	1.87	12
1813.5	2.19	2.48	2.77	12
1814.5	1.91	2.15	2.39	11
1815.5	2.33	2.61	2.9	11
1816.5	3.14	3.51	3.88	11
1817.5	2.87	3.2	3.53	10
1818.5	3.43	3.81	4.19	10
1819.5	3.39	3.75	4.12	10
1820.5	1.59	1.75	1.92	9
1821.5	1.64	1.8	1.97	9
1822.5	1.74	1.91	2.08	9
1823.5	0.83	0.91	0.99	9
1824.5	1.24	1.35	1.46	8
1825.5	2.19	2.39	2.59	8
1826.5	3.53	3.84	4.15	8
1827.5	4.49	4.87	5.25	8
1828.5	5.24	5.67	6.1	8
1829.5	5.9	6.38	6.86	7
1830.5	5.88	6.35	6.82	7
1831.5	4.22	4.55	4.88	7
1832.5	2.59	2.79	2.99	7
1833.5	0.97	1.04	1.11	7
1834.5	1.38	1.48	1.58	7
1835.5	4.59	4.91	5.23	7
1836.5	8.99	9.61	10.23	6
1837.5	10.6	11.32	12.04	6
1838.5	7.74	8.26	8.78	6
1839.5	6.58	7.01	7.44	6
1840.5	4.94	5.26	5.58	6
1841.5	2.62	2.78	2.94	6
1842.5	1.81	1.92	2.03	6
1843.5	0.71	0.75	0.79	6
1844.5	1.05	1.11	1.17	6
1845.5	2.97	3.14	3.31	6
1846.5	4.35	4.6	4.85	5
1847.5	6.69	7.07	7.45	5
