            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2305782.500000000, A.D. 1600-Dec-01 00:00:00.0000,  6.145589372198185E-02,  2.371242548940169E-03,  5.211286496102532E+00,  2.885443286612785E+02,  1.136591490082192E+02,  2.305770569483875E+06,  1.328696986212886E+01,  1.585204081914256E+02,  1.609259441974609E+02,  2.526511575831847E-03,  2.681780602723526E-03,  2.709421363452390E+01,
2305813.500000000, A.D. 1601-Jan-01 00:00:00.0000,  5.459969177590463E-02,  2.399485623220594E-03,  5.309356387553153E+00,  2.880156774073065E+02,  1.208972282723649E+02,  2.305825616170851E+06,  1.319636349266717E+01,  2.001106053136063E+02,  1.980896208770486E+02,  2.538063085390730E-03,  2.676640547560865E-03,  2.728024278810154E+01,
2305844.500000000, A.D. 1601-Feb-01 00:00:00.0000,  5.023153524927290E-02,  2.419873245369911E-03,  5.238838900952675E+00,  2.878448564610355E+02,  1.185145406206654E+02,  2.305852829794730E+06,  1.312035481865810E+01,  2.507101375752184E+02,  2.453952797880999E+02,  2.547855961931756E-03,  2.675838678493601E-03,  2.743828234645406E+01,
2305872.500000000, A.D. 1601-Mar-01 00:00:00.0000,  5.981974708675555E-02,  2.379520457721785E-03,  5.111583722159111E+00,  2.863160830169283E+02,  1.257609402186733E+02,  2.305880496908546E+06,  1.325227416200728E+01,  2.540227754948838E+02,  2.475793087400291E+02,  2.530919417152826E-03,  2.682318376583867E-03,  2.716514883400751E+01,
2305903.500000000, A.D. 1601-Apr-01 00:00:00.0000,  6.601132235554848E-02,  2.374541716699626E-03,  5.030323358032470E+00,  2.831823600327761E+02,  1.301197576945775E+02,  2.305907982900652E+06,  1.316287024094354E+01,  3.009921604104155E+02,  2.942362923450720E+02,  2.542366704795924E-03,  2.710191692892221E-03,  2.734965804648049E+01,
2305933.500000000, A.D. 1601-May-01 00:00:00.0000,  7.245507729160179E-02,  2.360644632044547E-03,  5.115746245494550E+00,  2.802863061390718E+02,  1.423408428678437E+02,  2.305936029584493E+06,  1.314208876887266E+01,  3.267559760529541E+02,  3.218387863355395E+02,  2.545046147362381E-03,  2.729447662680216E-03,  2.739290582579752E+01,
2305964.500000000, A.D. 1601-Jun-01 00:00:00.0000,  7.447748870249095E-02,  2.359500643936897E-03,  5.261345574403046E+00,  2.789388312448837E+02,  1.533661107469667E+02,  2.305964117187022E+06,  1.310865754456386E+01,  5.018164232134549E+00,  5.840618146084703E+00,  2.549371425476259E-03,  2.739242207015621E-03,  2.746276640274973E+01,
2305994.500000000, A.D. 1601-Jul-01 00:00:00.0000,  7.011602715736609E-02,  2.369801754296213E-03,  5.301311554493705E+00,  2.788774786449181E+02,  1.644173925728040E+02,  2.305992281739203E+06,  1.311544429535454E+01,  2.909347591612412E+01,  3.331920180553723E+01,  2.548491880177033E-03,  2.727182006057853E-03,  2.744855545057754E+01,
2306025.500000000, A.D. 1601-Aug-01 00:00:00.0000,  6.238444765244310E-02,  2.381396073342141E-03,  5.197583415771166E+00,  2.783770641859971E+02,  1.695669812945832E+02,  2.306019998733236E+06,  1.318249582319795E+01,  7.252042614692934E+01,  7.948519756992040E+01,  2.539842761118580E-03,  2.698289448895018E-03,  2.730894094929190E+01,
2306056.500000000, A.D. 1601-Sep-01 00:00:00.0000,  5.826439351842107E-02,  2.380538588116089E-03,  5.068939792668373E+00,  2.762157584826245E+02,  1.706173174538426E+02,  2.306047311378957E+06,  1.327665092336883E+01,  1.219941140557569E+02,  1.274377236334192E+02,  2.527820517491132E-03,  2.675102446866175E-03,  2.711527192195344E+01,
2306086.500000000, A.D. 1601-Oct-01 00:00:00.0000,  5.799423499495691E-02,  2.379004317123463E-03,  5.054105237916533E+00,  2.731057046599122E+02,  1.744011020968369E+02,  2.306074723675597E+06,  1.329521559687448E+01,  1.565687718831166E+02,  1.590454524041649E+02,  2.525466834176675E-03,  2.671929351229887E-03,  2.707740971757021E+01,
2306117.500000000, A.D. 1601-Nov-01 00:00:00.0000,  6.467381219388078E-02,  2.352575894409474E-03,  5.180828828504708E+00,  2.706803272026983E+02,  1.813869693156435E+02,  2.306129416437964E+06,  1.337633280907892E+01,  2.006017598984699E+02,  1.981786503741089E+02,  2.515246472385880E-03,  2.677917050362285E-03,  2.691320596895266E+01,
2306147.500000000, A.D. 1601-Dec-01 00:00:00.0000,  6.597716599772768E-02,  2.347820056061520E-03,  5.295452147146603E+00,  2.698459616625496E+02,  1.924430160260262E+02,  2.306157539368841E+06,  1.338896223213048E+01,  2.255832697474669E+02,  2.204850562407740E+02,  2.513664517173686E-03,  2.679508978285853E-03,  2.688781951569641E+01,
2306178.500000000, A.D. 1602-Jan-01 00:00:00.0000,  6.303752507785962E-02,  2.350304229343524E-03,  5.279880382500969E+00,  2.696516136732409E+02,  2.062249889239197E+02,  2.306185885164734E+06,  1.343089834954865E+01,  2.608106031696607E+02,  2.537860136015351E+02,  2.508429411261993E-03,  2.666554593180462E-03,  2.680386602822423E+01,
2306209.500000000, A.D. 1602-Feb-01 00:00:00.0000,  5.259828848360754E-02,  2.379552801264643E-03,  5.150788116802510E+00,  2.685825433651816E+02,  2.177468879096874E+02,  2.306214025907601E+06,  1.340497834992181E+01,  2.993303065903881E+02,  2.939091365709036E+02,  2.511661919478673E-03,  2.643771037692702E-03,  2.685569425049462E+01,
2306237.500000000, A.D. 1602-Mar-01 00:00:00.0000,  3.502869140190996E-02,  2.422617040744882E-03,  5.047989964003076E+00,  2.660475326352845E+02,  2.211223504101925E+02,  2.306241454214460E+06,  1.341381579122766E+01,  3.069588956360615E+02,  3.036666401948883E+02,  2.510558624032521E-03,  2.598500207320161E-03,  2.683800087931967E+01,
