            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2360568.500000000, A.D. 1750-Dec-01 00:00:00.0000,  4.267207480060660E-02,  2.442034770127489E-03,  5.279263307642237E+00,  2.656338820393412E+02,  1.334354723281903E+02,  2.360577697767450E+06,  1.309698152469667E+01,  2.395370096430355E+02,  2.354367430767904E+02,  2.550886384745185E-03,  2.659737999362880E-03,  2.748724958656744E+01,
2360599.500000000, A.D. 1751-Jan-01 00:00:00.0000,  3.423760686668258E-02,  2.449997125491143E-03,  5.253629043149393E+00,  2.656007320815645E+02,  1.328449662659923E+02,  2.360604924574016E+06,  1.320580746637037E+01,  2.883641199608305E+02,  2.845924477210654E+02,  2.536852897680534E-03,  2.623708669869924E-03,  2.726073365197610E+01,
2360630.500000000, A.D. 1751-Feb-01 00:00:00.0000,  3.156379856426412E-02,  2.441431614738151E-03,  5.116926879251449E+00,  2.642951904496861E+02,  1.188507751291056E+02,  2.360631075313032E+06,  1.333053457999994E+01,  3.523307697287695E+02,  3.518284719083700E+02,  2.521004079689148E-03,  2.600576544640144E-03,  2.700566866538983E+01,
2360658.500000000, A.D. 1751-Mar-01 00:00:00.0000,  4.978160356614882E-02,  2.407669650721963E-03,  5.018797457293530E+00,  2.617004873973857E+02,  1.159067235816294E+02,  2.360657985050955E+06,  1.322962981762956E+01,  6.812585240942336E+00,  7.533688601460669E+00,  2.533806606731562E-03,  2.659943562741162E-03,  2.721164574992648E+01,
2360689.500000000, A.D. 1751-Apr-01 00:00:00.0000,  5.865396926903391E-02,  2.370721828210915E-03,  5.082008439243381E+00,  2.586157410863684E+02,  1.236420308292056E+02,  2.360685691345841E+06,  1.335091203303856E+01,  5.084900664621658E+01,  5.630539248393682E+01,  2.518438226557371E-03,  2.666154624903827E-03,  2.696445000230198E+01,
2360719.500000000, A.D. 1751-May-01 00:00:00.0000,  6.664234122363499E-02,  2.346593193759140E-03,  5.214101562287747E+00,  2.569184918212297E+02,  1.359722176868350E+02,  2.360713847108281E+06,  1.338515244385061E+01,  7.566481740195312E+01,  8.319756243147776E+01,  2.514141467307968E-03,  2.681689740856795E-03,  2.689547254020188E+01,
2360750.500000000, A.D. 1751-Jun-01 00:00:00.0000,  6.815306829722134E-02,  2.338395918684904E-03,  5.290088765605832E+00,  2.564906421988309E+02,  1.463499767389304E+02,  2.360741954305145E+06,  1.342294131076603E+01,  1.147083604922841E+02,  1.215426811345695E+02,  2.509420634579884E-03,  2.680445350474863E-03,  2.681975519860595E+01,
2360780.500000000, A.D. 1751-Jul-01 00:00:00.0000,  6.633632478973346E-02,  2.342972851758959E-03,  5.244004687670938E+00,  2.562112162484926E+02,  1.554071199111384E+02,  2.360769966622572E+06,  1.342278697613881E+01,  1.413872813584620E+02,  1.458373362542881E+02,  2.509439870016693E-03,  2.675906888274427E-03,  2.682006357099749E+01,
2360811.500000000, A.D. 1751-Aug-01 00:00:00.0000,  6.171793087153667E-02,  2.358970470891412E-03,  5.118351215607993E+00,  2.549260069697022E+02,  1.608911227654696E+02,  2.360824486723030E+06,  1.338518127253769E+01,  1.861703581165279E+02,  1.854644934822626E+02,  2.514137857374356E-03,  2.669305243857300E-03,  2.689541461336876E+01,
2360842.500000000, A.D. 1751-Sep-01 00:00:00.0000,  6.010862509239556E-02,  2.371729110549765E-03,  5.032025413110151E+00,  2.522183496776075E+02,  1.633115938300805E+02,  2.360851871275721E+06,  1.331149271057063E+01,  2.352543315580403E+02,  2.298353934168599E+02,  2.523407676533809E-03,  2.675086242517853E-03,  2.704429982627904E+01,
2360872.500000000, A.D. 1751-Oct-01 00:00:00.0000,  6.561464248976016E-02,  2.360244596758289E-03,  5.091958424365908E+00,  2.492914093198194E+02,  1.697392716975521E+02,  2.360879493771480E+06,  1.329111472050768E+01,  2.670449809306721E+02,  2.595888024700582E+02,  2.525986283697113E-03,  2.691727970635937E-03,  2.708576425456127E+01,
2360903.500000000, A.D. 1751-Nov-01 00:00:00.0000,  7.233663568376691E-02,  2.355143810357735E-03,  5.233047737704011E+00,  2.476149387409129E+02,  1.768748377254145E+02,  2.360907299668595E+06,  1.319068502181534E+01,  3.098797683820864E+02,  3.031439423526419E+02,  2.538791441972785E-03,  2.722439073587836E-03,  2.729198668640907E+01,
2360933.500000000, A.D. 1751-Dec-01 00:00:00.0000,  7.505676637516752E-02,  2.351965720381569E-03,  5.292714684042669E+00,  2.474295289810566E+02,  1.894086536912538E+02,  2.360935587667560E+06,  1.315933753228209E+01,  3.325276779276595E+02,  3.282052562089299E+02,  2.542821694218213E-03,  2.733677668054857E-03,  2.735700023780520E+01,
2360964.500000000, A.D. 1752-Jan-01 00:00:00.0000,  7.242918604324736E-02,  2.366393458399656E-03,  5.182958304295014E+00,  2.470027729879313E+02,  2.010203362956850E+02,  2.360963800420654E+06,  1.309477579686400E+01,  9.160834686791503E+00,  1.061118184987517E+01,  2.551172829926911E-03,  2.735952201454164E-03,  2.749187963082305E+01,
2360995.500000000, A.D. 1752-Feb-01 00:00:00.0000,  6.333316309423290E-02,  2.388662633379911E-03,  5.025439306009189E+00,  2.446161776542232E+02,  2.113887177373262E+02,  2.360991762137867E+06,  1.310247624563288E+01,  4.897524980371978E+01,  5.474005644079045E+01,  2.550173166449173E-03,  2.711683699518435E-03,  2.747572239407722E+01,
2361024.500000000, A.D. 1752-Mar-01 00:00:00.0000,  5.115975112244403E-02,  2.423040760897266E-03,  5.005901442520934E+00,  2.413944412877790E+02,  2.201683697955813E+02,  2.361019476780992E+06,  1.307544435086592E+01,  6.568082060517912E+01,  7.115904315524497E+01,  2.553686738904295E-03,  2.684332716911325E-03,  2.753252511652951E+01,
2361055.500000000, A.D. 1752-Apr-01 00:00:00.0000,  4.843069217849746E-02,  2.424895025746641E-03,  5.146573640430123E+00,  2.388102052515427E+02,  2.167640714724558E+02,  2.361046377398947E+06,  1.311683674283989E+01,  1.196596686831530E+02,  1.243366840008092E+02,  2.548311516370921E-03,  2.671728006995202E-03,  2.744564158706280E+01,
